2 ,50,12500,98 ,Donate
0 ,13,3250,28 ,Donate
1 ,16,4000,35 ,Donate
2 ,20,5000,45 ,Donate
1 ,24,6000,77 ,Don't Donate
4 ,4,1000,4 ,Don't Donate
2 ,7,1750,14 ,Donate
1 ,12,3000,35 ,Don't Donate
2 ,9,2250,22 ,Donate
5 ,46,11500,98 ,Donate
4 ,23,5750,58 ,Don't Donate
0 ,3,750,4 ,Don't Donate
2 ,10,2500,28 ,Donate
1 ,13,3250,47 ,Don't Donate
2 ,6,1500,15 ,Donate
2 ,5,1250,11 ,Donate
2 ,14,3500,48 ,Donate
2 ,15,3750,49 ,Donate
2 ,6,1500,15 ,Donate
2 ,3,750,4 ,Donate
2 ,3,750,4 ,Donate
4 ,11,2750,28 ,Don't Donate
2 ,6,1500,16 ,Donate
2 ,6,1500,16 ,Donate
9 ,9,2250,16 ,Don't Donate
4 ,14,3500,40 ,Don't Donate
4 ,6,1500,14 ,Don't Donate
4 ,12,3000,34 ,Donate
4 ,5,1250,11 ,Donate
4 ,8,2000,21 ,Don't Donate
1 ,14,3500,58 ,Don't Donate
4 ,10,2500,28 ,Donate
4 ,10,2500,28 ,Donate
4 ,9,2250,26 ,Donate
2 ,16,4000,64 ,Don't Donate
2 ,8,2000,28 ,Donate
2 ,12,3000,47 ,Donate
4 ,6,1500,16 ,Donate
2 ,14,3500,57 ,Donate
4 ,7,1750,22 ,Donate
2 ,13,3250,53 ,Donate
2 ,5,1250,16 ,Don't Donate
2 ,5,1250,16 ,Donate
2 ,5,1250,16 ,Don't Donate
4 ,20,5000,69 ,Donate
4 ,9,2250,28 ,Donate
2 ,9,2250,36 ,Don't Donate
2 ,2,500,2 ,Don't Donate
2 ,2,500,2 ,Don't Donate
2 ,2,500,2 ,Don't Donate
2 ,11,2750,46 ,Don't Donate
2 ,11,2750,46 ,Donate
2 ,6,1500,22 ,Don't Donate
2 ,12,3000,52 ,Don't Donate
4 ,5,1250,14 ,Donate
4 ,19,4750,69 ,Donate
4 ,8,2000,26 ,Donate
2 ,7,1750,28 ,Donate
2 ,16,4000,81 ,Don't Donate
3 ,6,1500,21 ,Don't Donate
2 ,7,1750,29 ,Don't Donate
2 ,8,2000,35 ,Donate
2 ,10,2500,49 ,Don't Donate
4 ,5,1250,16 ,Donate
2 ,3,750,9 ,Donate
3 ,16,4000,74 ,Don't Donate
2 ,4,1000,14 ,Donate
0 ,2,500,4 ,Don't Donate
4 ,7,1750,25 ,Don't Donate
1 ,9,2250,51 ,Don't Donate
2 ,4,1000,16 ,Don't Donate
2 ,4,1000,16 ,Don't Donate
4 ,17,4250,71 ,Donate
2 ,2,500,4 ,Don't Donate
2 ,2,500,4 ,Donate
2 ,2,500,4 ,Donate
2 ,4,1000,16 ,Donate
2 ,2,500,4 ,Don't Donate
2 ,2,500,4 ,Don't Donate
2 ,2,500,4 ,Don't Donate
4 ,6,1500,23 ,Donate
2 ,4,1000,16 ,Don't Donate
2 ,4,1000,16 ,Don't Donate
2 ,4,1000,16 ,Don't Donate
